Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Sitagliptin	O=C(N2Cc1nnc(n1CC2)C(F)(F)F)CC(N)Cc3cc(F)c(F)cc3(F)	[NH3+]C(CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F	0.787400787	0.7320776775	TS		1.139	78.007	0.367	78.007	11.5	5	36.4	1.933	2.907	2	8	1.888	0.411	4.035	11.4	1	1	1	3.924	2
Traxoprodil	Oc1ccc(cc1)C(O)C(N3CCC(O)(c2ccccc2)CC3)C	CC(C(O)C1=CC=C(O)C=C1)[NH+]1CCC(O)(CC1)C1=CC=CC=C1	0.793725393	0.4755368102	TS		0.815	109.763	-1.492	109.763	12.5	14	40	1.849	2.807	10	12	1.946	0.521	3.684	2	1	1	1	3.852	9
Caffeine	O=C2c1c(ncn1C)N(C(=O)N2C)C	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	0.8	0.8558745117	TS		-0.1	47.873	0.736	47.873	7.5	0	33.3	1.221	2.459	0	3	1.692	0.536	3.177	16.7	0	0	0	3.475	0
Cocaethylene	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OCC))c3ccccc3	CCOC(=O)C1C2CCC(CC1OC(=O)C1=CC=CC=C1)[NH+]2C	0.8	0.4596643641	TS		0.907	94.367	-1.033	94.367	9	11	38.3	1.016	2.585	7	6	1.881	0.391	3.381	2.1	1	1	1	3.834	5
Ritodrine	Oc1ccc(cc1)CCNC(C)C(O)c2ccc(O)cc2	CC([NH2+]CCC1=CC=C(O)C=C1)C(O)C1=CC=C(O)C=C1	0.8	0.5501609677	TS		1.374	95.647	-1.529	95.647	13	12	39.5	1.925	2.807	9	12	1.906	0.619	3.614	2.3	1	1	1	3.84	8
Azlocillin	O=C(O)C4N3C(=O)C(NC(=O)C(NC(=O)N1C(=O)NCC1)c2ccccc2)C3SC4(C)(C)	CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)C3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.806225775	0.5642072459	TS		-0.379	97.104	0.527	129.324	13.5	9	37	0.911	3.17	6	6	1.895	0.422	3.631	9.3	0	-1	0	3.886	5
Metocurine	O3c1cc(ccc1(OC))CC7c6c(Oc2ccc(cc2)CC5c4cc3c(OC)cc4CC[N+]5(C)(C))c(OC)c(OC)cc6CC[N+]7(C)(C)	COC1=CC=C2CC3C4=C(OC5=CC=C(CC6C7=CC(OC1=C2)=C(OC)C=C7CC[N+]6(C)C)C=C5)C(OC)=C(OC)C=C4CC[N+]3(C)C	0.806225775	0.6704486942	TS		4.509	247.291	-4.018	247.291	27	20	41.7	4.859	3.7	16	24	2.016	0.562	4.144	2.1	2	2	2	3.983	10
Morphine	Oc5ccc4c1c5(OC2C(O)C=CC3C(N(C)CCC123)C4)	C[NH+]1CCC23C4OC5=C2C(CC1C3C=CC4O)=CC=C5O	0.806225775	0.8643354963	TS		-0.174	65.091	-1.753	65.091	8	10	41.5	1.646	2.322	9	6	2.035	0.381	3.485	2.4	1	1	1	3.668	2
Nalmefene	Oc6ccc5c1c6(OC2C(=C)CCC3(O)(C(N(CCC123)CC4CC4)C5))	OC1=CC=C2CC3[NH+](CC4CC4)CCC45C(OC1=C24)C(=C)CCC35O	0.806225775	0.6760688747	TS		1.235	68.938	-0.832	68.938	8	14	41.2	1.349	2.322	12	6	2.035	0.32	3.699	2	1	1	1	3.8	2
Nizatidine	O=[N+]([O-])CC(=NC)NCCSCc1nc(CN(C)C)sc1	CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O	0.806225775	0.8046022461	TS		1.071	53.911	0.387	117.408	8	2	28.6	1.289	2.7	0	3	1.64	0.381	3.592	11.9	0	0	0	3.858	0
Streptomycin	O=CC3(O)(C(OC(OC1C(O)C(O)C(N=C(N)N)C(O)C1(N=C(N)N))C3(OC2OC(CO)C(O)C(O)C2(NC)))C)	C[NH2+]C1C(O)C(O)C(CO)OC1OC1C(OC2C(O)C(O)C(NC(N)=[NH2+])C(O)C2NC(N)=[NH2+])OC(C)C1(O)C=O	0.806225775	0.9006888398	TS		-10.56	33.163	-8.883	33.163	4.5	1	25.6	0.136	2	0	0	1.823	0.113	3.315	8.5	3	3	5	3.817	0
Bisoprolol	OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C	CC(C)[NH2+]CC(O)COC1=CC=C(COCCOC(C)C)C=C1	0.81240384	0.6553234831	TS		0.801	102.11	-2.089	102.11	6.5	9	32.7	1.124	2	4	6	1.88	0.283	2.784	1.8	1	1	1	3.659	4
Dexfenfluramine	FC(F)(F)c1cccc(c1)CC(NCC)C	CC[NH2+]C(C)CC1=CC(=CC=C1)C(F)(F)F	0.81240384	0.5467054228	TS		2.127	74.326	0.106	74.326	6	9	36.4	1.183	2	7	6	1.917	0.375	3.103	3	1	1	1	3.607	4
Acetylsalicylic Acid	O=C(O)c1ccccc1(OC(=O)C)	CC(=O)OC1=CC=CC=C1C([O-])=O	0.824621125	0.533143794	TS		0.524	69.065	1.701	69.065	9.5	6	45	1.505	2.585	4	6	1.876	0.731	2.757	0	0	-1	0	3.405	4
Linezolid	O=C1OC(CNC(=O)C)CN1c2ccc(c(F)c2)N3CCOCC3	CC(=O)NCC1CN(C(=O)O1)C1=CC=C(N2CCOCC2)C(F)=C1	0.830662386	0.8319125807	TS		0.895	80.963	0.892	80.963	10	4	36.4	1.306	2.585	1	6	1.88	0.417	3.343	6.8	0	0	0	3.712	3
Ciprofloxacin	O=C(O)C1=CN(c2cc(c(F)cc2(C1(=O)))N3CCNCC3)C4CC4	[O-]C(=O)C1=CN(C2CC2)C2=CC(N3CC[NH2+]CC3)=C(F)C=C2C1=O	0.836660027	0.8632341618	TS		-0.498	74.346	-2.013	74.346	11.5	6	40.5	1.741	2.807	2	6	1.952	0.479	3.664	7.1	1	0	1	3.753	2
Codeine	OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	COC1=CC=C2CC3C4C=CC(O)C5OC1=C2C45CC[NH+]3C	0.836660027	0.7986122145	TS		0.077	81.217	-1.515	81.217	8	10	40.9	1.65	2.322	9	6	2.035	0.364	3.502	2.3	1	1	1	3.677	2
Digoxin	Oc1occ(c1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CC(O)C67(C)))	CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(CCC54O)C4=COC(=O)C4)C3)OC2C)OC1C	0.836660027	0.4795507206	TS		1.502	97.53	0.957	97.53	2.5	24	34.5	0.292	1.585	17	0	2.017	0.045	3.583	0	0	0	0	3.851	0
Mivacurium (cis/cis)	O=C(OCCC[N+]3(C)(CCc1cc(OC)c(OC)cc1C3(Cc2cc(OC)c(OC)c(OC)c2)))CCC=CCCC(=O)OCCC[N+]6(C)(CCc4cc(OC)c(OC)cc4C6(Cc5cc(OC)c(OC)c(OC)c5))	COC1=CC(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC=CCCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC	0.836660027	0.6801269384	TS		6.184	349.269	-5.483	349.269	33	26	37.7	4.567	4	19	24	2.002	0.446	4.141	1.3	2	2	2	3.999	8
Tizanidine	N3=C(Nc1c2nsnc2(ccc1Cl))NCC3	ClC1=C(NC2=[NH+]CCN2)C2=NSN=C2C=C1	0.836660027	0.6906227394	TS		0.802	35.609	1.231	105.584	10	3	36	2.343	2.807	1	6	1.88	0.625	3.283	20	1	1	1	3.846	2
Isoproterenol	Oc1ccc(cc1(O))C(O)CNC(C)C	CC(C)[NH2+]CC(O)C1=CC=C(O)C(O)=C1	0.842614977	0.870505379	TS		-0.182	51.37	-2.836	51.37	7	6	33.3	1.165	2	3	6	1.887	0.467	2.994	3	1	1	1	3.604	3
Carumonam	O=C(OCC2N(C(=O)C2(NC(=O)C(=NOCC(=O)O)C1=CSC(=N)N1))S(=O)(=O)O)N	NC(=O)OCC1C(NC(=O)C(=NOCC([O-])=O)C2=CSC(N)=N2)C(=O)N1S([O-])(=O)=O	0.848528137	0.7161216924	TS		-3.449	45.735	-1.682	84.037	15	1	28.6	1.098	3.392	0	3	1.862	0.5	3.947	14.3	0	-2	2	4.217	0
Isosorbide Dinitrate	O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12	[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O	0.848528137	0.9722488738	TS		-0.417	9.185	-0.046	9.185	6	0	25	0.407	2.322	0	0	1.543	0.375	3.358	8.3	0	0	0	3.69	0
Captopril	O=C(O)C1N(C(=O)C(C)CS)CCC1	CC(CS)C(=O)N1CCCC1C([O-])=O	0.854400375	0.8681326525	TS		0.071	28.319	0.64	66.883	3	4	32.1	0.235	1.585	2	0	1.678	0.214	2.886	3.6	0	-1	0	3.694	0
Venlafaxine	OC1(CCCCC1)C(c2ccc(OC)cc2)CN(C)C	COC1=CC=C(C=C1)C(C[NH+](C)C)C1(O)CCCCC1	0.854400375	0.668921823	TS		1.461	88.788	-1.123	88.788	6.5	11	35.4	1.046	2	9	6	1.946	0.325	3.349	2.1	1	1	1	3.705	4
Fleroxacin	O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))N3CCN(C)CC3)CCF	CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C([O-])=O	0.854400375	0.7615053324	TS		1.385	87.893	1.905	87.893	11.5	3	39.5	1.758	2.807	1	6	1.952	0.442	3.719	7	0	-1	0	3.716	1
Meptazinol	Oc1cccc(c1)C2(CN(C)CCCC2)(CC)	CCC1(CCCC[NH+](C)C1)C1=CC(O)=CC=C1	0.854400375	0.5324953194	TS		1.947	72.662	-0.78	72.662	6.5	11	36.6	1.079	2	10	6	1.937	0.382	3.156	2.4	1	1	1	3.678	4
Eptifibatide	O=C(O)CC1NC(=O)CNC(=O)C(NC(=O)CCSSCC(NC(=O)C4N(C(=O)C(NC1(=O))Cc3c[nH]c2ccccc23)CCC4)C(=O)N)CCCCNC(=N)N	NC(=[NH2+])NCCCCC1NC(=O)CCSSCC(NC(=O)C2CCCN2C(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)C(CC([O-])=O)NC(=O)CNC1=O)C(N)=O	0.866025404	0.5894786802	TS		-3.403	124.794	-2.262	185.158	21.5	14	33	1.847	3.907	9	8	1.919	0.377	3.435	10.4	1	0	3	4.085	4
Pefloxacin	O=C(O)C1=CN(c2cc(c(F)cc2(C1(=O)))N3CCN(C)CC3)CC	CCN1C=C(C([O-])=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1	0.866025404	0.7045034511	TS		1.127	88.604	1.671	88.604	11.5	5	39.5	1.759	2.807	1	6	1.955	0.479	3.661	7	0	-1	0	3.714	2
Terbutaline	Oc1cc(O)cc(c1)C(O)CNC(C)(C)C	CC(C)(C)[NH2+]CC(O)C1=CC(O)=CC(O)=C1	0.866025404	0.8783297837	TS		0.023	60.196	-2.555	60.196	7	7	33.3	1.153	2	2	6	1.889	0.437	3.104	2.8	1	1	1	3.668	3
Risedronic acid (Risedronate)	O=P(O)(O)C(O)(Cc1cnccc1)P(=O)(O)O	OC(CC1=CN=CC=C1)(P(O)([O-])=O)P([O-])([O-])=O	0.871779789	0.8355801097	TS		-2.741	42.767	-2.133	42.767	9	4	28	1.195	2.585	3	5	1.881	0.529	3.449	4	0	-3	0	4.201	2
Etilefrine	Oc1cccc(c1)C(O)CNCC	CC[NH2+]CC(O)C1=CC(O)=CC=C1	0.877496439	0.8584826471	TS		-0.292	54.127	-2.587	54.127	6.5	6	34.5	1.167	2	4	6	1.889	0.5	2.728	3.4	1	1	1	3.537	4
Moclobemide	O=C(NCCN1CCOCC1)c2ccc(cc2)Cl	ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1	0.877496439	0.6535739214	TS		1.529	66.903	1.588	106.052	7.5	6	37.1	1.102	2.322	4	6	1.879	0.417	3.013	5.7	0	0	0	3.7	4
Cimetidine	N#CNC(=NC)NCCSCc1[nH]cnc1C	CN=C(NCCSCC1=C(C)N=CN1)NC#N	0.883176087	0.8810552992	TS		0.61	53.331	0.821	85.55	8.5	2	30.3	1.115	2.7	0	3	1.628	0.5	3.074	18.2	0	0	0	3.709	0
Tetracycline	O=C(N)C3C(=O)C(N(C)C)C4CC2C(C(=O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C3(=O))	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)C1=C(O)C=CC=C1C3(C)O	0.883176087	0.59194732	TS		-3.349	89.062	-4.559	89.062	14	11	39.3	2.165	3.17	7	6	2.043	0.437	4.151	3.6	1	0	2	3.892	3
Zoledronic Acid	O=P(O)(O)C(O)(Cn1cncc1)P(=O)(O)O	OC(CN1C=CN=C1)(P(O)([O-])=O)P([O-])([O-])=O	0.883176087	0.9141268274	TS		-3.688	28.819	-2.705	28.819	7	0	21.7	0.929	2.459	0	3	1.802	0.437	3.464	8.7	0	-3	0	4.201	0
Ceftazidime	O=C([O-])C4=C(C[n+]1ccccc1)CSC3N4(C(=O)C3(NC(=O)C(=NOC(C(=O)O)(C)C)C2=CSC(=N)N2))	CC(C)(ON=C(C(=O)NC1C2SCC(C[N+]3=CC=CC=C3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1)C([O-])=O	0.888819442	0.5845229145	TS		-0.984	109.624	0.667	173.121	18.5	8	37.9	1.963	3.644	2	8	1.902	0.5	3.933	10.3	1	-1	2	4.109	3
Naltrexone	O=C1CCC5(O)(C4N(CCC25(c3c(OC12)c(O)ccc3C4))CC6CC6)	OC1=CC=C2CC3[NH+](CC4CC4)CCC45C(OC1=C24)C(=O)CCC35O	0.888819442	0.7859276061	TS		0.038	55.119	-1.843	55.119	8.5	12	40.8	1.349	2.322	10	6	2.032	0.34	3.699	2	1	1	1	3.8	2
Cladribine	N=C3NC(=Nc1c3(ncn1C2OC(CO)C(O)C2))Cl	NC1=C2N=CN(C3CC(O)C(CO)O3)C2=NC(Cl)=N1	0.888819442	0.9047565751	TS		-0.398	19.983	0.953	59.132	8.5	2	32.3	2.095	2.585	0	5	1.752	0.447	3.31	16.1	0	0	1	3.761	0
Cephaloridine	O=C(O)C4=C(C[n+]1ccccc1)CSC3N4(C(=O)C3(NC(=O)Cc2cccs2))	[O-]C(=O)C1=C(C[N+]2=CC=CC=C2)CSC2C(NC(=O)CC3=CC=CS3)C(=O)N12	0.894427191	0.4829663104	TS		0.572	102.09	1.542	165.587	15	9	42.2	1.912	3.392	3	9	1.903	0.536	3.513	6.7	1	0	1	4.108	5
Enoxacin	O=C(O)C1=CN(c2nc(c(F)cc2(C1(=O)))N3CCNCC3)CC	CCN1C=C(C([O-])=O)C(=O)C2=CC(F)=C(N=C12)N1CC[NH2+]CC1	0.894427191	0.8654662254	TS		-0.712	69.874	-1.635	69.874	11.5	4	37.5	1.765	2.807	1	5	1.908	0.5	3.661	10	1	0	1	3.72	1
Nelarabine	N=C3N=C1C(N=CN1C2OC(CO)C(O)C2(O))=C(OC)N3	COC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC(N)=N1	0.894427191	0.9519026984	TS		-1.515	30.075	-0.111	30.075	9	0	30.6	2.107	2.585	0	5	1.752	0.429	3.381	13.9	0	0	1	3.726	0
Tinidazole	O=[N+]([O-])c1cnc(n1CCS(=O)(=O)CC)C	CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O	0.894427191	0.8539546489	TS		0.15	35.259	0.995	41.305	10	2	27.6	1.381	2.907	0	3	1.894	0.625	4.234	10.3	0	0	0	3.997	0
Amphetamine	NC(C)Cc1ccccc1	CC([NH3+])CC1=CC=CC=C1	0.894427191	0.7493688657	TS		0.63	61.927	-1.442	61.927	6	8	37.5	1.186	2	7	6	1.897	0.6	2.258	4.2	1	1	1	3.466	5
Gatifloxacin	O=C(O)C1=CN(c2c(OC)c(c(F)cc2(C1(=O)))N3CCNC(C)C3)C4CC4	COC1=C2N(C=C(C([O-])=O)C(=O)C2=CC(F)=C1N1CC[NH2+]C(C)C1)C1CC1	0.894427191	0.8048003129	TS		-0.137	87.715	-2.308	87.715	12	6	38.8	1.752	2.807	2	6	1.953	0.444	3.727	6.1	1	0	1	3.773	1
Dalfopristin	O=C2C=CC(C)C(OC(=O)C3N(C(=O)c1nc(oc1)CC(=O)CC(O)C=C(C=CCN2)C)CCC3S(=O)(=O)CCN(CC)CC)C(C)C	CCN(CC)CCS(=O)(=O)C1CCN2C1C(=O)OC(C(C)C)C(C)C=CC(=O)NCC=CC(C)=CC(O)CC(=O)CC1=NC(=CO1)C2=O	0.905538514	0.3829010626	TS		2.302	163.8	1.186	169.846	17.5	17	34.7	2.528	3.644	9	3	1.918	0.365	3.891	4.1	0	0	0	3.928	0
Galanthamine	OC1C=CC24(c3c(OC2(C1))c(OC)ccc3CN(C)CC4)	COC1=CC=C2C[NH+](C)CCC34C=CC(O)CC3OC1=C24	0.911043358	0.8280732616	TS		-0.118	83.323	-1.753	83.323	8	9	39.5	1.597	2.322	7	6	1.927	0.381	3.403	2.3	1	1	1	3.644	2
Sumatriptan	O=S(=O)(NC)Cc1ccc2[nH]cc(c2(c1))CCN(C)C	CNS(=O)(=O)CC1=CC=C2NC=C(CC[NH+](C)C)C2=C1	0.911043358	0.7662057849	TS		0.07	79.293	-2.79	85.101	11	7	33.3	2.237	3	6	8	1.976	0.55	4.448	7.1	1	1	1	4.077	3
Procainamide	O=C(NCCN(CC)CC)c1ccc(N)cc1	CC[NH+](CC)CCNC(=O)C1=CC=C(N)C=C1	0.916515139	0.893858282	TS		-0.433	74.625	-1.967	74.625	8	7	33.3	1.167	2.322	4	6	1.882	0.471	3.013	7.7	1	1	2	3.687	4
Acyclovir	O=C2NC(=N)Nc1c2(ncn1COCCO)	NC1=NC2=C(N=CN2COCCO)C(=O)N1	0.921954446	0.9602436867	TS		-1.454	29.063	0.041	29.063	7.5	0	29.6	1.506	2.459	0	3	1.649	0.469	2.976	18.5	0	0	1	3.455	0
Amoxicillin	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccc(O)cc1)C2SC3(C)(C)	CC1(C)SC2C(NC(=O)C([NH3+])C3=CC=C(O)C=C3)C(=O)N2C1C([O-])=O	0.921954446	0.7889580318	TS		-1.473	74.865	-3.103	107.085	11	8	36.4	1.099	2.807	4	6	1.896	0.44	3.701	6.8	1	0	1	3.883	4
Frovatriptan	O=C(N)c1ccc2[nH]c3c(c2(c1))CC(NC)CC3	C[NH2+]C1CCC2=C(C1)C1=CC(=CC=C1N2)C(N)=O	0.921954446	0.7618376003	TS		0.184	62.978	-2.45	62.978	9.5	9	38.9	2.219	2.807	7	8	1.948	0.528	3.504	8.3	1	1	2	3.672	3
Methylphenidate	O=C(OC)C(c1ccccc1)C2NCCCC2	COC(=O)C(C1CCCC[NH2+]1)C1=CC=CC=C1	0.921954446	0.6941633415	TS		0.949	78.35	-1.418	78.35	7.5	10	37.8	1.077	2.322	9	6	1.93	0.441	2.935	2.7	1	1	1	3.687	5
Ampicillin	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C)	CC1(C)SC2C(NC(=O)C([NH3+])C3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.921954446	0.7919334918	TS		-1.206	84.341	-2.622	116.561	10.5	9	37.2	1.069	2.807	6	6	1.899	0.437	3.603	7	1	0	1	3.87	5
Methamphetamine	c1ccc(cc1)CC(NC)C	C[NH2+]C(C)CC1=CC=CC=C1	0.921954446	0.7544526101	TS		0.836	70.323	-1.139	70.323	6	8	37	1.166	2	7	6	1.899	0.545	2.334	3.7	1	1	1	3.534	5
Hydromorphone	O=C1CCC5C4N(C)CCC25(c3c(OC12)c(O)ccc3C4)	C[NH+]1CCC23C4OC5=C2C(CC1C3CCC4=O)=CC=C5O	0.92736185	0.818110369	TS		0.096	56.341	-1.753	56.341	8.5	10	41.5	1.365	2.322	9	6	2.033	0.405	3.487	2.4	1	1	1	3.666	2
Imipenem	O=C(O)C2=C(CC1N2(C(=O)C1(C(O)C)))SCCN=CN	CC(O)C1C2CC(SCCNC=[NH2+])=C(N2C1=O)C([O-])=O	0.92736185	0.8516469563	TS		-3.777	38.711	0.189	70.93	6	4	32.4	0.621	2.322	0	0	1.795	0.3	3.282	8.1	1	0	1	3.733	0
Recainam	O=C(Nc1c(cccc1C)C)NCCCNC(C)C	CC(C)[NH2+]CCCNC(=O)NC1=C(C)C=CC=C1C	0.92736185	0.7226539393	TS		1.08	83.879	-1.309	83.879	8	10	33.3	1.221	2.322	6	6	1.911	0.421	2.797	6.7	1	1	1	3.663	3
Rizatriptan	n1cnn(c1)Cc2ccc3[nH]cc(c3(c2))CCN(C)C	C[NH+](C)CCC1=CNC2=CC=C(CN3C=NC=N3)C=C12	0.92736185	0.5475345266	TS		0.507	89.34	-1.302	89.34	12	7	37.5	2.792	3.087	6	10	1.944	0.6	3.522	12.5	1	1	1	3.815	3
Zanamivir	O=C(NC=1C(=NC(N)N)C=C(OC=1C(O)C(O)CO)C(O)O)C	CC(=O)NC1=C(OC(=CC1=NC(N)N)C(O)O)C(O)C(O)CO	0.92736185	0.9405222095	TS		-4.433	39.006	-2.315	39.006	6	2	27.9	1.055	2.322	0	0	1.813	0.261	3.121	9.3	0	0	2	3.518	0
Cyclophosphamide	O=P1(OCCCN1)N(CCCl)CCCl	ClCCN(CCCl)P1(=O)NCCCO1	0.932737905	0.897947739	TS		0.861	19.143	1.966	97.44	1.5	3	24.1	0.106	1	0	0	1.743	0.107	2.031	6.9	0	0	0	3.776	0
Vinorelbine	O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CN8CC(=CC(C8)C9)CC))C)C	CCC1=CC2C[NH+](C1)CC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=C(OC)C=C2N(C)C3C4(CC[NH+]5CC=CC(CC)(C45)C(OC(C)=O)C3(O)C(=O)OC)C2=C1	0.932737905	0.5222378052	TS		2.276	223.264	-4.195	223.264	21.5	25	39.8	4.023	3.807	20	14	2.001	0.377	4.381	3.5	2	2	2	4.083	6
Tocainide	O=C(Nc1c(cccc1C)C)C(N)C	CC([NH3+])C(=O)NC1=C(C)C=CC=C1C	0.932737905	0.7865890697	TS		0.547	68.737	-1.98	68.737	8	8	35.5	1.323	2.322	6	6	1.913	0.571	3	6.5	1	1	1	3.592	3
Amikacin	O=C(CCN)C(O)NC3CC(N)C(OC1OC(CN)C(O)C(O)C1(O))C(O)C3(OC2OC(CO)C(O)C(N)C2(O))	[NH3+]CCC(=O)C(O)NC1CC([NH3+])C(OC2OC(C[NH3+])C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C([NH3+])C1O	0.938083152	0.9582184519	TS		-12.128	15.133	-20.859	15.133	1.5	2	25.3	0.038	1	0	0	1.849	0.037	3.155	5.7	4	4	4	3.78	0
Azithromycin	O=C3OC(CC)C(O)(C)C(O)C(N(C)CC(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(O)CC(C)C[NH+](C)C(C)C(O)C1(C)O	0.938083152	0.7265381183	TS		-1.043	144.479	-7.225	144.479	1.5	17	30.2	0.031	1	5	0	1.854	0.029	3.485	1.6	2	2	2	3.8	0
Metoprolol	OC(COc1ccc(cc1)CCOC)CNC(C)C	COCCC1=CC=C(OCC(O)C[NH2+]C(C)C)C=C1	0.938083152	0.8406737766	TS		0.526	88.692	-2.031	88.692	6.5	8	33.3	1.131	2	5	6	1.891	0.342	2.784	2.2	1	1	1	3.659	4
Amrinone	O=C1NC=C(C=C1(N))c2ccncc2	NC1=CC(=CNC1=O)C1=CC=NC=C1	0.943398113	0.7741369363	TS		-1.193	69.404	0.312	69.404	10.5	5	43.5	1.84	2.807	4	5	1.888	0.75	3.348	13	0	0	1	3.646	2
Fluconazole	Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)Cn3ncnc3	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=CC=C(F)C=C1F	0.943398113	0.493423889	TS		0.75	88.542	3.487	88.542	14	4	38.2	1.958	3.17	2	10	1.9	0.636	3.53	17.6	0	0	0	3.793	3
Acecainide (N-acetylprocainamide)	O=C(NCCN(CC)CC)c1ccc(cc1)NC(=O)C	CC[NH+](CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C1	0.948683298	0.8579345249	TS		-0.566	88.155	-1.915	88.155	9.5	8	34.1	1.292	2.585	4	6	1.888	0.475	3.127	6.8	1	1	1	3.689	4
Cefpirome	O=C([O-])C5=C(C[n+]1cccc2c1CCC2)CSC4N5(C(=O)C4(NC(=O)C(=NOC)C3=CSC(=N)N3))	CON=C(C(=O)NC1C2SCC(C[N+]3=CC=CC4=C3CCC4)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	0.948683298	0.6046344215	TS		0.506	91.164	1.356	154.661	17	9	38.6	2.165	3.524	5	8	1.912	0.486	3.951	10.5	1	0	2	4.115	2
Oxytetracycline	O=C(N)C3C(=O)C(N(C)C)C4C(O)C2C(C(=O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C3(=O))	C[NH+](C)C1C2C(O)C3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)C1=C(O)C=CC=C1C3(C)O	0.948683298	0.6634373684	TS		-4.349	86.527	-5.283	86.527	14	10	38.6	2.164	3.17	5	6	2.041	0.424	4.154	3.5	1	0	2	3.892	3
Thiotepa	N1(CC1)P(N2CC2)(N3CC3)=S	S=P(N1CC1)(N1CC1)N1CC1	0.948683298	0.933909665	TS		0.812	12.634	0.552	53.794	1.5	0	26.1	0.111	1	0	0	1.498	0.136	2.414	13	0	0	0	3.538	0
Timolol	OC(COc1nsnc1N2CCOCC2)CNC(C)(C)C	CC(C)(C)[NH2+]CC(O)COC1=NSN=C1N1CCOCC1	0.948683298	0.8997776585	TS		-0.103	53.712	-2.461	84.539	5	3	28.3	0.988	1.807	0	2	1.74	0.238	3.103	8.7	1	1	1	3.719	0
Clavulanic Acd	O=C([O-])C2=C(OC1N2(C(=O)C1))CCO	OCCC1=C(N2C(CC2=O)O1)C([O-])=O	0.953939201	0.8998460814	TS		-2.352	24.489	-0.154	24.489	4.5	2	36.4	0.606	2	0	0	1.704	0.321	3.037	4.5	0	-1	0	3.435	0
