ID	CAS	SMILES VEGA	Status	Exp. endpoint
225	000148-82-3	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	0
226	000151-83-7	O=C1NC(=O)C(C(=O)N1C)(CC=C)C(C#CCC)C	Training	0.2041
227	000152-02-3	Oc1ccc2c(c1)C34(CCN(CC=C)C(C2)C4(CCCC3))	Training	0
228	000152-62-5	O=C4C=C3CC=C1C(CCC2(C)(C(C(=O)C)CCC12))C3(C)CC4	Training	0.7782
229	000153-61-7	O=C(O)C3=C(COC(=O)C)CSC2N3(C(=O)C2(NC(=O)Cc1cccs1))	Training	-0.0223
230	000154-93-8	O=NN(C(=O)NCCCl)CCCl	Training	-0.4318
231	000155-09-9	NC2CC2(c1ccccc1)	Training	0.7924
232	000156-08-1	c1ccc(cc1)CN(C)C(C)Cc2ccccc2	Training	1.3711
233	000156-60-5	C(=CCl)Cl	Training	-0.5229
234	000298-46-4	O=C(N)N2c3ccccc3(C=Cc1ccccc12)	Training	1.6532
235	000298-81-7	O=C1Oc2c(OC)c3occc3(cc2(C=C1))	Training	0.301
236	000300-62-9	NC(C)Cc1ccccc1	Training	0.8633
237	000302-41-0	N#CC(c1ccccc1)(c2ccccc2)CCN4CCC(C(=O)N)(N3CCCCC3)CC4	Training	0.9031
238	000303-49-1	c1ccc3c(c1)N(c2cc(ccc2CC3)Cl)CCCN(C)C	Training	1.415
239	000303-53-7	c1ccc3c(c1)C=Cc2ccccc2C3(=CCCN(C)C)	Training	1.2553
240	000303-70-8	Oc1ccc3c(c1)CCc2ccccc2N3CCCN(C)C	Training	1
241	000304-55-2	O=C(O)C(C(C(=O)O)S)S	Training	1.6812
242	000305-03-3	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	Training	0.0414
243	000307-24-4	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	2.6812
244	000309-29-5	O=C2N(CC)CC(CCN1CCOCC1)C2(c3ccccc3)c4ccccc4	Training	0.6128
245	000320-67-2	O=C1N=C(N=CN1C2OC(CO)C(O)C2(O))N	Training	-0.4437
246	000321-64-2	n2c1ccccc1c(N)c3c2CCCC3	Training	0.5185
247	000335-67-1	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	4.6772
248	000339-44-6	O=S(=O)(Nc1ncc(OCCOC)cn1)c2ccccc2	Training	0.6021
249	000355-46-4	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	4.8051
250	000357-70-0	O=C1CCC24(c3c(OC2(C1))c(OC)ccc3CN(C)CC4)	Training	0.7243
251	000359-83-1	Oc1ccc2c(c1)C3(C)(CCN(CC=C(C)C)C(C2)C3(C))	Training	0.3979
252	000364-62-5	O=C(NCCN(CC)CC)c1cc(c(N)cc1(OC))Cl	Training	0.8573
253	000364-98-7	O=S2(=O)(N=C(Nc1ccc(cc12)Cl)C)	Training	1.6812
254	000389-08-2	O=C(O)C1=CN(c2nc(ccc2(C1(=O)))C)CC	Training	0.2553
255	000396-01-0	n1c(nc(N)c2nc(c(nc12)N)c3ccccc3)N	Training	0.6335
256	000437-38-7	O=C(N(c1ccccc1)C3CCN(CCc2ccccc2)CC3)CC	Training	0.4771
257	000439-14-5	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	Training	1.6233
258	000443-48-1	O=[N+]([O-])c1cnc(n1CCO)C	Training	0.8513
259	000446-86-6	O=[N+]([O-])c1ncn(c1Sc3ncnc2[nH]cnc23)C	Training	0.699
260	000452-35-7	O=S(=O)(N)c2nc1ccc(OCC)cc1s2	Training	0.6021
261	000461-78-9	NC(C)(C)Cc1ccc(cc1)Cl	Training	1.6021
262	000469-21-6	n1ccccc1C(OCCN(C)C)(c2ccccc2)C	Training	1
263	000469-62-5	O=C(OC(c1ccccc1)(Cc2ccccc2)C(C)CN(C)C)CC	Training	1.2553
264	000469-79-4	O=C(CC)C2(c1cccc(O)c1)(CCN(C)CC2)	Training	0.3617
265	000477-47-4	O=C3c1cc5OCOc5(cc1C(c2cc(OC)c(OC)c(OC)c2)C4C(O)OCC34)	Training	0.4393
266	000479-18-5	O=C2c1c(ncn1CC(O)CO)N(C(=O)N2C)C	Training	0.2304
267	000486-12-4	n1ccccc1C(=CCN2CCCC2)c3ccc(cc3)C	Training	0.699
268	000486-16-8	n1ccccc1C(OCCN(C)C)c2ccc(cc2)Cl	Training	1.1761
269	000486-56-6	O=C2N(C)C(c1cnccc1)CC2	Training	1.2304
270	000492-39-7	OC(c1ccccc1)C(N)C	Training	0.716
271	000514-65-8	OC(c1ccccc1)(CCN2CCCCC2)C4C3=CCC(C3)C4	Training	1.3802
